,geometry,highway,lat,lon,osmid
0,POINT (588762.3938877451 4507921.443980163),,40.7174345,-73.9490648,42461444
1,POINT (588757.2188618743 4507947.294764155),,40.7176679,-73.9491224,42461448
2,POINT (587981.9296207042 4507108.954401453),,40.7102,-73.958418,42463268
3,POINT (588128.1513922678 4507128.964059621),traffic_signals,40.7103646,-73.9566844,42463272
4,POINT (588360.8560269822 4507364.712422704),,40.7124631,-73.9538967,42463350
5,POINT (589073.1638973118 4508124.844017951),traffic_signals,40.719233,-73.945357,42463363
6,POINT (589195.8106708633 4508167.507446352),traffic_signals,40.719604,-73.943899,42463370
7,POINT (589172.3773527081 4508205.528600151),traffic_signals,40.719949,-73.944171,42463374
8,POINT (590979.1870030495 4507161.089669592),,40.710344,-73.922933,42464209
9,POINT (588261.6398760844 4507408.26233223),,40.712866,-73.955065,42464273
10,POINT (589051.2446929063 4508163.438836022),traffic_signals,40.719583,-73.945611,42464292
11,POINT (589766.7120377882 4507416.995110181),,40.712782,-73.937248,42464409
12,POINT (589754.7931733416 4507459.483764388),,40.713166,-73.937383,42464411
13,POINT (589757.0454615816 4507531.676023644),,40.713816,-73.937346,42464415
14,POINT (589760.4692965543 4507611.765109726),,40.714537,-73.937294,42464419
15,POINT (588773.2994281969 4508349.844905688),,40.721292,-73.948875,42466376
16,POINT (588851.2219439932 4508360.43700951),,40.721379,-73.947951,42466378
17,POINT (588933.1030771278 4508371.965589102),,40.721474,-73.94698,42466383
18,POINT (589094.3416280904 4508394.106979271),,40.721656,-73.945068,42466389
19,POINT (589117.9963274412 4508397.333292339),,40.7216825,-73.9447875,42466392
20,POINT (589195.9595125141 4508407.985045404),,40.72177,-73.943863,42466395
21,POINT (589274.131632574 4508418.806673764),,40.721859,-73.942936,42466398
22,POINT (589352.7285028412 4508429.412203564),,40.721946,-73.942004,42466401
23,POINT (589400.2562769096 4508436.635258106),,40.7220059,-73.9414403,42466405
24,POINT (589645.8602555024 4506469.729316552),,40.704263,-73.938814,42466686
25,POINT (589687.2104123347 4506480.887141136),,40.704359,-73.938323,42466688
26,POINT (589707.6209467467 4505846.360801082),,40.6986415,-73.9381722,42466921
27,POINT (589717.6192076007 4505785.363609585),,40.698091,-73.9380626,42466923
28,POINT (589729.70614697 4505711.668473094),,40.6974259,-73.9379301,42466926
29,POINT (589743.061356251 4505630.239303341),,40.696691,-73.9377837,42466929
30,POINT (589756.5258602608 4505548.178651879),,40.6959504,-73.9376361,42466932
31,POINT (589769.8271333263 4505467.059746536),,40.6952183,-73.9374903,42466939
32,POINT (589783.1558883915 4505385.785767938),,40.6944848,-73.9373442,42466943
33,POINT (589796.4844968058 4505304.54512067),,40.6937516,-73.9371981,42466947
34,POINT (589809.7681605693 4505223.548205924),,40.6930206,-73.9370525,42466950
35,POINT (589823.0882936893 4505142.351917665),,40.6922878,-73.9369065,42466957
36,POINT (589836.3908433792 4505061.233158765),,40.6915557,-73.9367607,42466959
37,POINT (589849.7299988152 4504979.903925947),,40.6908217,-73.9366145,42466960
38,POINT (589863.0239380164 4504898.840626592),,40.6900901,-73.9364688,42466962
39,POINT (589876.4088103998 4504817.267749857),,40.6893539,-73.9363221,42466965
40,POINT (589889.658055141 4504736.448211714),,40.6886245,-73.9361769,42466966
41,POINT (589902.9798564848 4504655.240998775),,40.6878916,-73.9360309,42466967
42,POINT (589916.3109012512 4504573.989514954),,40.6871583,-73.9358848,42466970
43,POINT (589741.6650192358 4505820.515446643),,40.698405,-73.937773,42467004
44,POINT (589160.7764796212 4506035.560071813),,40.700405,-73.944617,42467502
45,POINT (589178.6691874318 4506051.318201751),,40.700545,-73.944403,42467503
46,POINT (589290.618268617 4506150.253078487),bus_stop,40.701424,-73.943064,42467507
47,POINT (589357.6658086339 4506174.707861341),,40.701637,-73.942267,42467803
48,POINT (589347.087375558 4506253.295589623),,40.702346,-73.942381,42467807
49,POINT (589336.5118056779 4506331.661325659),,40.703053,-73.942495,42467811
50,POINT (589325.5086856702 4506410.46602491),,40.703764,-73.942614,42467814
51,POINT (589314.4239596073 4506489.047716261),,40.704473,-73.942734,42467817
52,POINT (589303.6773442805 4506567.633496421),,40.705182,-73.94285,42467820
53,POINT (589292.9349304847 4506645.886277992),,40.705888,-73.942966,42467823
54,POINT (589281.8508010807 4506724.468035312),,40.706597,-73.943086,42467825
55,POINT (589271.0660420165 4506806.273074287),,40.707335,-73.943202,42467828
56,POINT (589259.9462606034 4506887.852057243),,40.708071,-73.943322,42467831
57,POINT (589249.0303496147 4506966.5469206),,40.708781,-73.94344,42467835
58,POINT (589237.9701359267 4507046.017227426),crossing,40.709498,-73.9435596,42467839
59,POINT (589227.1697522797 4507126.37886139),crossing,40.710223,-73.943676,42467842
60,POINT (589216.8039744552 4507201.527668925),,40.710901,-73.943788,42467844
61,POINT (589205.4264614154 4507283.547743951),,40.711641,-73.943911,42467848
62,POINT (589194.2221038627 4507365.236853461),,40.712378,-73.944032,42467850
63,POINT (589183.4776586146 4507443.822872988),,40.713087,-73.944148,42467858
64,POINT (589172.6489412154 4507522.407898626),,40.713796,-73.944265,42467863
65,POINT (589161.2776031782 4507603.984038903),,40.714532,-73.944388,42467872
66,POINT (589150.9734175371 4507681.132110526),,40.715228,-73.944499,42467880
67,POINT (589140.2270860313 4507759.940229955),,40.715939,-73.944615,42467885
68,POINT (589129.2288946821 4507838.634319361),,40.716649,-73.944734,42467889
69,POINT (589118.4869564723 4507917.109461439),,40.717357,-73.94485,42467892
70,POINT (589107.7438787548 4507995.695631807),,40.718066,-73.944966,42467894
71,POINT (589096.8227410056 4508075.056842782),,40.718782,-73.945084,42467896
72,POINT (589094.6730241404 4508085.2451285),,40.718874,-73.945108,42467904
73,POINT (589014.1598924254 4508226.942865316),,40.720159,-73.946041,42467912
74,POINT (588974.301153281 4508296.409027244),,40.720789,-73.946503,42467919
75,POINT (588910.7594324977 4508446.083035185),,40.722144,-73.947234,42467929
76,POINT (587859.0482979405 4505735.265067263),,40.69784,-73.960065,42468473
77,POINT (587924.3185958715 4505746.362977172),,40.697933,-73.959291,42468479
78,POINT (587994.27662244 4504927.072731013),,40.690546,-73.958578,42469369
79,POINT (587956.4727973801 4505157.772375223),,40.692628,-73.958993,42469370
80,POINT (587927.5174430845 4505333.621171383),,40.694215,-73.959311,42469374
81,POINT (587885.9252346455 4505577.709994904),,40.696418,-73.959769,42469376
82,POINT (587847.0789055337 4505804.179072798),traffic_signals,40.698462,-73.960197,42469382
83,POINT (587838.219537208 4508414.872681918),,40.721978,-73.959936,42469514
84,POINT (587887.2327216966 4508477.18184462),,40.722534,-73.959347,42469520
85,POINT (590306.6763111565 4505413.141444092),,40.694674,-73.931145,42470002
86,POINT (590410.5759775924 4505562.066717589),,40.696004,-73.929894,42470004
87,POINT (590028.7537693627 4507760.079144993),,40.7158436,-73.9340969,42471039
88,POINT (589996.619199565 4507748.91995486),,40.7157466,-73.9344789,42471040
89,POINT (590810.1216928343 4505283.945717338),,40.693455,-73.925206,42471578
90,POINT (590889.6570012986 4505393.055632036),,40.694429,-73.924249,42471580
91,POINT (591054.0378801087 4505618.670950301),,40.696443,-73.922271,42471586
