,access,bridge,from,geometry,highway,key,lanes,length,maxspeed,name,oneway,osmid,service,time,to
0,,,42532947,"LINESTRING (588884.458423364 4508223.166910326, 588865.8542987322 4508246.036731209)",residential,0,,29.4850562147,,Manhattan Avenue,False,5681741,,0.393134082862,42523210
1,,,42523210,"LINESTRING (588884.458423364 4508223.166910326, 588865.8542987322 4508246.036731209)",residential,1,,29.4850562147,,Manhattan Avenue,False,5681741,,0.393134082862,42532947
2,,,42532947,"LINESTRING (588884.458423364 4508223.166910326, 588934.8587042826 4508162.153394102)",residential,0,,79.1463208924,,Manhattan Avenue,False,5681741,,1.05528427857,42512070
3,,,42512070,"LINESTRING (588884.458423364 4508223.166910326, 588934.8587042826 4508162.153394102)",residential,1,,79.1463208924,,Manhattan Avenue,False,5681741,,1.05528427857,42532947
4,,,42532947,"LINESTRING (588884.458423364 4508223.166910326, 588974.301153281 4508296.409027244)",residential,0,,115.828385979,,Newton Street,False,5681480,,1.54437847972,42467919
5,,,42467919,"LINESTRING (588884.458423364 4508223.166910326, 588974.301153281 4508296.409027244)",residential,1,,115.828385979,,Newton Street,False,5681480,,1.54437847972,42532947
6,,,42819671,"LINESTRING (591388.6071895532 4508490.302902124, 591291.3143796364 4508516.527532382)",tertiary,0,,100.567859453,,Maspeth Avenue,False,46869152,,1.34090479271,42807873
7,,,42807873,"LINESTRING (591388.6071895532 4508490.302902124, 591291.3143796364 4508516.527532382)",tertiary,1,,100.567859453,,Maspeth Avenue,False,46869152,,1.34090479271,42819671
8,,,42819671,"LINESTRING (591388.6071895532 4508490.302902124, 591484.9379646459 4508463.379312623, 591498.927830401 4508468.026167817)",tertiary,0,,114.54193843,,Maspeth Avenue,False,46869152,,1.52722584573,42854190
9,,,42500190,"LINESTRING (589522.864200291 4508337.094284003, 589655.1652335486 4508384.211937833)",residential,0,,140.183216181,,Beadel Street,False,5678545,,1.86910954908,42490472
10,,,42490472,"LINESTRING (589522.864200291 4508337.094284003, 589655.1652335486 4508384.211937833)",residential,1,,140.183216181,,Beadel Street,False,5678545,,1.86910954908,42500190
11,,,42484237,"LINESTRING (589522.864200291 4508337.094284003, 589549.3581025921 4508262.584528747)",residential,0,,79.1762641836,,Debevoise Avenue,False,5678921,,1.05568352245,42500190
12,,,42500190,"LINESTRING (589522.864200291 4508337.094284003, 589549.3581025921 4508262.584528747)",residential,1,,79.1762641836,,Debevoise Avenue,False,5678921,,1.05568352245,42484237
13,,,42500190,"LINESTRING (589522.864200291 4508337.094284003, 589450.1729746466 4508313.013379595)",residential,0,,76.4316903482,,Beadel Street,False,5678545,,1.01908920464,42495878
14,,,42495878,"LINESTRING (589522.864200291 4508337.094284003, 589450.1729746466 4508313.013379595)",residential,1,,76.4316903482,,Beadel Street,False,5678545,,1.01908920464,42500190
15,,,42492001,"LINESTRING (588681.3375510298 4506050.688238982, 588810.196363001 4506163.362497102)",residential,0,,171.068696298,,Wallabout Street,False,39612790,,2.28091595065,42492003
16,,,42492003,"LINESTRING (588681.3375510298 4506050.688238982, 588810.196363001 4506163.362497102)",residential,1,,171.068696298,,Wallabout Street,False,39612790,,2.28091595065,42492001
17,,,42492001,"LINESTRING (588681.3375510298 4506050.688238982, 588681.2969701646 4506160.155829899)",residential,0,,109.645615526,,Union Avenue,False,39613244,,1.46194154035,42475325
18,,,42475325,"LINESTRING (588681.3375510298 4506050.688238982, 588681.2969701646 4506160.155829899)",residential,1,,109.645615526,,Union Avenue,False,39613244,,1.46194154035,42492001
19,,,42491998,"LINESTRING (588681.3375510298 4506050.688238982, 588663.336793254 4506036.817426666)",residential,0,,22.7056499521,,Wallabout Street,False,39612790,,0.302741999361,42492001
20,,,42492001,"LINESTRING (588681.3375510298 4506050.688238982, 588663.336793254 4506036.817426666)",residential,1,,22.7056499521,,Wallabout Street,False,39612790,,0.302741999361,42491998
21,,,42492001,"LINESTRING (588681.3375510298 4506050.688238982, 588699.1291418603 4505961.86089566)",residential,0,,90.7270859861,,Union Avenue,False,5680308,,1.20969447981,42482215
22,,,42482215,"LINESTRING (588681.3375510298 4506050.688238982, 588699.1291418603 4505961.86089566)",residential,1,,90.7270859861,,Union Avenue,False,5680308,,1.20969447981,42492001
23,,,42500194,"LINESTRING (589791.7584677952 4508432.494200156, 589655.1652335486 4508384.211937833)",residential,0,,144.60882127,,Beadel Street,False,5678545,,1.92811761693,42490472
24,,,42490472,"LINESTRING (589791.7584677952 4508432.494200156, 589655.1652335486 4508384.211937833)",residential,1,,144.60882127,,Beadel Street,False,5678545,,1.92811761693,42500194
25,,,42500194,"LINESTRING (589791.7584677952 4508432.494200156, 589818.7369684997 4508355.137897378)",secondary,0,,82.0266855542,,Vandervoort Avenue,False,5680770,,1.09368914072,42484241
26,,,42484241,"LINESTRING (589791.7584677952 4508432.494200156, 589818.7369684997 4508355.137897378)",secondary,1,,82.0266855542,,Vandervoort Avenue,False,5680770,,1.09368914072,42500194
27,,,42500194,"LINESTRING (589791.7584677952 4508432.494200156, 589919.7731913192 4508477.566360828)",residential,0,,135.467372906,,Beadel Street,False,5678545,,1.80623163874,42500197
28,,,42500197,"LINESTRING (589791.7584677952 4508432.494200156, 589919.7731913192 4508477.566360828)",residential,1,,135.467372906,,Beadel Street,False,5678545,,1.80623163874,42500194
29,,,42500194,"LINESTRING (589791.7584677952 4508432.494200156, 589765.5133226558 4508507.228219581)",secondary,0,,79.3056983943,,Vandervoort Avenue,False,5680770,,1.05740931192,42522375
30,,,42522375,"LINESTRING (589791.7584677952 4508432.494200156, 589765.5133226558 4508507.228219581)",secondary,1,,79.3056983943,,Vandervoort Avenue,False,5680770,,1.05740931192,42500194
31,,,42492003,"LINESTRING (588810.196363001 4506163.362497102, 588756.1382547815 4506225.443494245)",residential,0,,82.3191476238,,Harrison Avenue,False,276067509,,1.09758863498,42475328
32,,,42475328,"LINESTRING (588810.196363001 4506163.362497102, 588756.1382547815 4506225.443494245)",residential,1,,82.3191476238,,Harrison Avenue,False,276067509,,1.09758863498,42492003
33,,,42492003,"LINESTRING (588810.196363001 4506163.362497102, 588822.1386649223 4506149.672013865, 588864.3398479568 4506101.282896605)",residential,0,,82.373966246,,Harrison Avenue,False,38654451,,1.09831954995,42526740
34,,,42492003,"LINESTRING (588810.196363001 4506163.362497102, 588964.1439322529 4506297.32309055)",residential,0,,203.945880232,,Wallabout Street,False,5677919,,2.71927840309,42492006
35,,,42492006,"LINESTRING (588810.196363001 4506163.362497102, 588964.1439322529 4506297.32309055)",residential,1,,203.945880232,,Wallabout Street,False,5677919,,2.71927840309,42492003
36,,,42500197,"LINESTRING (589919.7731913192 4508477.566360828, 589946.509954616 4508400.740464845, 589818.7369684997 4508355.137897378)",residential,0,,216.863835602,,"[u'Division Place', u'Porter Avenue']",False,"[5677185, 5680946]",,2.89151780803,42484241
37,,,42492006,"LINESTRING (588964.1439322529 4506297.32309055, 589018.9984706932 4506345.054435245)",residential,0,,72.6689650576,,Wallabout Street,False,5677919,,0.968919534101,42492008
38,,,42492008,"LINESTRING (588964.1439322529 4506297.32309055, 589018.9984706932 4506345.054435245)",residential,1,,72.6689650576,,Wallabout Street,False,5677919,,0.968919534101,42492006
39,,,42492006,"LINESTRING (588964.1439322529 4506297.32309055, 588909.9982958956 4506359.623985438)",residential,0,,82.5427413939,,Throop Avenue,False,227064550,,1.10056988525,42475331
40,,,42475331,"LINESTRING (588964.1439322529 4506297.32309055, 588909.9982958956 4506359.623985438)",residential,1,,82.5427413939,,Throop Avenue,False,227064550,,1.10056988525,42492006
41,,,42492006,"LINESTRING (588964.1439322529 4506297.32309055, 589018.2019918545 4506235.354588434)",residential,0,,82.233923948,,Throop Avenue,False,227064550,,1.09645231931,42499143
42,,,42499143,"LINESTRING (588964.1439322529 4506297.32309055, 589018.2019918545 4506235.354588434)",residential,1,,82.233923948,,Throop Avenue,False,227064550,,1.09645231931,42492006
43,,,42492008,"LINESTRING (589018.9984706932 4506345.054435245, 589052.7468575883 4506320.923337054)",primary,0,,41.4512492786,25 mph,Broadway,False,220464723,,0.552683323715,42491136
44,,,42491136,"LINESTRING (589018.9984706932 4506345.054435245, 589052.7468575883 4506320.923337054)",primary,1,,41.4512492786,25 mph,Broadway,False,220464723,,0.552683323715,42492008
45,,,42492008,"LINESTRING (589018.9984706932 4506345.054435245, 588950.7234177359 4506394.862063294)",primary,0,,84.4401438147,25 mph,Broadway,False,220464723,,1.1258685842,42475336
46,,,42475336,"LINESTRING (589018.9984706932 4506345.054435245, 588950.7234177359 4506394.862063294)",primary,1,,84.4401438147,25 mph,Broadway,False,220464723,,1.1258685842,42492008
47,,,42492008,"LINESTRING (589018.9984706932 4506345.054435245, 589047.6055247764 4506369.15646981)",residential,0,,37.3814216055,,Moore Street,False,227064544,,0.49841895474,42491139
48,,,42491139,"LINESTRING (589018.9984706932 4506345.054435245, 589047.6055247764 4506369.15646981)",residential,1,,37.3814216055,,Moore Street,False,227064544,,0.49841895474,42492008
49,,,42492050,"LINESTRING (587945.4367758415 4505910.925768904, 588048.5851422283 4505934.131050911)",secondary,0,,105.507653232,,Wallabout Street,False,221795719,,1.40676870976,42492056
50,,,42492056,"LINESTRING (587945.4367758415 4505910.925768904, 588048.5851422283 4505934.131050911)",secondary,1,,105.507653232,,Wallabout Street,False,221795719,,1.40676870976,42492050
51,,,42492050,"LINESTRING (587945.4367758415 4505910.925768904, 587877.5117650991 4505895.799405368)",secondary,0,,69.444733212,,Wallabout Street,False,221795719,,0.92592977616,42477570
52,,,42477570,"LINESTRING (587945.4367758415 4505910.925768904, 587877.5117650991 4505895.799405368)",secondary,1,,69.444733212,,Wallabout Street,False,221795719,,0.92592977616,42492050
53,,,42492050,"LINESTRING (587945.4367758415 4505910.925768904, 587926.5148415119 4505939.012210346)",residential,0,,33.8817095697,,Wythe Avenue,False,46817511,,0.451756127595,42477573
